# Freq(THz)	Branch_1	Branch_2	Branch_3	Total
1.0330	0.500502	0.265777	0.018006	0.784285
1.0365	0.501060	0.265888	0.018646	0.785594
1.0400	0.501628	0.266045	0.019314	0.786988
1.0435	0.502208	0.266263	0.020003	0.788474
1.0470	0.502797	0.266553	0.020704	0.790055
1.0505	0.503395	0.266927	0.021408	0.791729
1.0540	0.503998	0.267391	0.022107	0.793495
1.0575	0.504604	0.267952	0.022791	0.795346
1.0610	0.505210	0.268611	0.023452	0.797273
1.0645	0.505814	0.269370	0.024081	0.799264
1.0680	0.506411	0.270224	0.024670	0.801306
1.0715	0.507000	0.271170	0.025212	0.803382
1.0750	0.507577	0.272201	0.025698	0.805475
1.0785	0.508139	0.273306	0.026123	0.807569
1.0820	0.508686	0.274475	0.026482	0.809643
1.0855	0.509214	0.275696	0.026770	0.811679
1.0890	0.509723	0.276954	0.026984	0.813661
1.0925	0.510212	0.278237	0.027122	0.815571
1.0960	0.510682	0.279531	0.027183	0.817395
1.0995	0.511132	0.280821	0.027168	0.819120
1.1031	0.511563	0.282094	0.027079	0.820736
1.1066	0.511977	0.283340	0.026918	0.822235
1.1101	0.512376	0.284548	0.026689	0.823613
1.1136	0.512762	0.285708	0.026398	0.824868
1.1171	0.513136	0.286815	0.026051	0.826003
1.1206	0.513502	0.287864	0.025655	0.827021
1.1241	0.513861	0.288852	0.025219	0.827932
1.1276	0.514216	0.289780	0.024750	0.828745
1.1311	0.514568	0.290649	0.024257	0.829475
1.1346	0.514920	0.291464	0.023751	0.830135
1.1381	0.515272	0.292231	0.023241	0.830743
1.1416	0.515626	0.292956	0.022736	0.831318
1.1451	0.515982	0.293649	0.022248	0.831878
1.1486	0.516340	0.294318	0.021784	0.832443
1.1521	0.516700	0.294975	0.021355	0.833031
1.1556	0.517062	0.295629	0.020970	0.833660
1.1591	0.517424	0.296289	0.020636	0.834349
1.1626	0.517786	0.296965	0.020361	0.835111
1.1661	0.518145	0.297665	0.020152	0.835962
1.1696	0.518501	0.298395	0.020015	0.836910
1.1731	0.518851	0.299160	0.019954	0.837966
1.1766	0.519196	0.299964	0.019974	0.839134
1.1801	0.519532	0.300808	0.020077	0.840417
1.1836	0.519859	0.301690	0.020265	0.841814
1.1871	0.520177	0.302608	0.020538	0.843323
1.1906	0.520484	0.303557	0.020895	0.844936
1.1941	0.520781	0.304531	0.021333	0.846646
1.1976	0.521068	0.305522	0.021850	0.848439
1.2011	0.521344	0.306520	0.022441	0.850304
1.2046	0.521610	0.307515	0.023099	0.852225
1.2081	0.521867	0.308498	0.023818	0.854184
1.2116	0.522117	0.309458	0.024590	0.856165
1.2151	0.522359	0.310384	0.025406	0.858150
1.2186	0.522596	0.311269	0.026255	0.860120
1.2221	0.522827	0.312103	0.027128	0.862058
1.2256	0.523054	0.312881	0.028013	0.863948
1.2291	0.523278	0.313599	0.028898	0.865775
1.2326	0.523498	0.314254	0.029774	0.867525
1.2361	0.523714	0.314847	0.030627	0.869187
1.2396	0.523927	0.315380	0.031446	0.870753
1.2431	0.524136	0.315859	0.032221	0.872216
1.2466	0.524341	0.316291	0.032941	0.873573
1.2501	0.524539	0.316687	0.033597	0.874823
1.2536	0.524731	0.317058	0.034180	0.875969
1.2571	0.524915	0.317417	0.034683	0.877015
1.2606	0.525090	0.317780	0.035099	0.877968
1.2641	0.525254	0.318160	0.035424	0.878838
1.2676	0.525407	0.318574	0.035654	0.879636
1.2711	0.525548	0.319038	0.035789	0.880375
1.2746	0.525677	0.319564	0.035826	0.881068
1.2781	0.525793	0.320167	0.035769	0.881729
1.2816	0.525896	0.320857	0.035619	0.882373
1.2851	0.525988	0.321644	0.035381	0.883013
1.2886	0.526070	0.322532	0.035061	0.883663
1.2921	0.526142	0.323525	0.034666	0.884333
1.2956	0.526207	0.324624	0.034203	0.885034
1.2991	0.526266	0.325824	0.033683	0.885772
1.3027	0.526321	0.327118	0.033116	0.886555
1.3062	0.526375	0.328497	0.032511	0.887383
1.3097	0.526429	0.329947	0.031882	0.888258
1.3132	0.526485	0.331454	0.031239	0.889178
1.3167	0.526546	0.332998	0.030595	0.890139
1.3202	0.526610	0.334561	0.029963	0.891133
1.3237	0.526680	0.336121	0.029353	0.892153
1.3272	0.526755	0.337657	0.028778	0.893189
1.3307	0.526834	0.339148	0.028249	0.894231
1.3342	0.526917	0.340573	0.027778	0.895268
1.3377	0.527002	0.341913	0.027373	0.896288
1.3412	0.527086	0.343151	0.027045	0.897282
1.3447	0.527167	0.344273	0.026801	0.898242
1.3482	0.527242	0.345268	0.026649	0.899159
1.3517	0.527308	0.346128	0.026594	0.900030
1.3552	0.527361	0.346848	0.026642	0.900851
1.3587	0.527400	0.347430	0.026794	0.901624
1.3622	0.527421	0.347878	0.027052	0.902351
1.3657	0.527422	0.348201	0.027417	0.903040
1.3692	0.527402	0.348410	0.027886	0.903698
1.3727	0.527359	0.348521	0.028457	0.904338
1.3762	0.527294	0.348555	0.029125	0.904974
1.3797	0.527207	0.348532	0.029883	0.905623
1.3832	0.527100	0.348477	0.030723	0.906300
1.3867	0.526975	0.348414	0.031635	0.907024
1.3902	0.526833	0.348370	0.032610	0.907813
1.3937	0.526680	0.348368	0.033634	0.908682
1.3972	0.526518	0.348435	0.034695	0.909648
1.4007	0.526352	0.348592	0.035779	0.910723
1.4042	0.526185	0.348860	0.036872	0.911917
1.4077	0.526021	0.349256	0.037959	0.913236
1.4112	0.525864	0.349793	0.039025	0.914681
1.4147	0.525716	0.350480	0.040055	0.916251
1.4182	0.525581	0.351323	0.041036	0.917939
1.4217	0.525458	0.352322	0.041953	0.919733
1.4252	0.525349	0.353473	0.042794	0.921616
1.4287	0.525254	0.354766	0.043548	0.923569
1.4322	0.525171	0.356190	0.044205	0.925566
1.4357	0.525098	0.357726	0.044756	0.927580
1.4392	0.525032	0.359355	0.045194	0.929581
1.4427	0.524969	0.361054	0.045516	0.931539
1.4462	0.524905	0.362798	0.045717	0.933420
1.4497	0.524836	0.364559	0.045798	0.935192
1.4532	0.524756	0.366311	0.045758	0.936826
1.4567	0.524663	0.368028	0.045603	0.938293
1.4602	0.524551	0.369683	0.045335	0.939569
1.4637	0.524416	0.371253	0.044963	0.940633
1.4672	0.524257	0.372717	0.044495	0.941470
1.4707	0.524071	0.374057	0.043941	0.942069
1.4742	0.523856	0.375259	0.043312	0.942427
1.4777	0.523614	0.376312	0.042621	0.942547
1.4812	0.523344	0.377212	0.041880	0.942436
1.4847	0.523049	0.377957	0.041105	0.942112
1.4882	0.522731	0.378552	0.040310	0.941593
1.4917	0.522395	0.379004	0.039510	0.940909
1.4952	0.522045	0.379326	0.038719	0.940090
1.4987	0.521684	0.379535	0.037953	0.939172
1.5023	0.521318	0.379650	0.037226	0.938194
1.5058	0.520952	0.379693	0.036552	0.937197
1.5093	0.520591	0.379688	0.035945	0.936224
1.5128	0.520238	0.379661	0.035418	0.935316
1.5163	0.519896	0.379639	0.034980	0.934515
1.5198	0.519569	0.379645	0.034644	0.933859
1.5233	0.519259	0.379706	0.034417	0.933382
1.5268	0.518965	0.379844	0.034307	0.933116
1.5303	0.518687	0.380078	0.034321	0.933086
1.5338	0.518425	0.380426	0.034461	0.933312
1.5373	0.518176	0.380900	0.034731	0.933807
1.5408	0.517935	0.381511	0.035131	0.934577
1.5443	0.517701	0.382262	0.035660	0.935623
1.5478	0.517468	0.383156	0.036313	0.936936
1.5513	0.517230	0.384188	0.037086	0.938504
1.5548	0.516985	0.385350	0.037970	0.940305
1.5583	0.516726	0.386630	0.038958	0.942314
1.5618	0.516449	0.388014	0.040037	0.944500
1.5653	0.516150	0.389482	0.041195	0.946828
1.5688	0.515827	0.391015	0.042417	0.949259
1.5723	0.515476	0.392590	0.043688	0.951754
1.5758	0.515097	0.394183	0.044991	0.954270
1.5793	0.514688	0.395771	0.046307	0.956767
1.5828	0.514251	0.397331	0.047620	0.959202
1.5863	0.513787	0.398842	0.048911	0.961539
1.5898	0.513298	0.400282	0.050161	0.963741
1.5933	0.512789	0.401635	0.051353	0.965777
1.5968	0.512263	0.402886	0.052469	0.967618
1.6003	0.511724	0.404025	0.053495	0.969245
1.6038	0.511178	0.405045	0.054415	0.970638
1.6073	0.510630	0.405943	0.055216	0.971789
1.6108	0.510083	0.406718	0.055889	0.972691
1.6143	0.509544	0.407378	0.056424	0.973345
1.6178	0.509014	0.407929	0.056815	0.973759
1.6213	0.508498	0.408385	0.057058	0.973942
1.6248	0.507998	0.408760	0.057153	0.973911
1.6283	0.507515	0.409071	0.057100	0.973686
1.6318	0.507049	0.409337	0.056904	0.973289
1.6353	0.506599	0.409578	0.056570	0.972747
1.6388	0.506163	0.409815	0.056108	0.972087
1.6423	0.505740	0.410069	0.055527	0.971335
1.6458	0.505324	0.410357	0.054840	0.970522
1.6493	0.504912	0.410699	0.054062	0.969673
1.6528	0.504499	0.411108	0.053209	0.968816
1.6563	0.504080	0.411599	0.052296	0.967975
1.6598	0.503651	0.412179	0.051342	0.967172
1.6633	0.503206	0.412857	0.050365	0.966427
1.6668	0.502740	0.413633	0.049383	0.965756
1.6703	0.502251	0.414509	0.048415	0.965175
1.6738	0.501736	0.415478	0.047480	0.964694
1.6773	0.501192	0.416535	0.046595	0.964322
1.6808	0.500618	0.417669	0.045778	0.964065
1.6843	0.500014	0.418867	0.045044	0.963926
1.6878	0.499383	0.420116	0.044409	0.963907
1.6913	0.498725	0.421398	0.043886	0.964009
1.6948	0.498045	0.422697	0.043487	0.964229
1.6983	0.497345	0.423998	0.043223	0.964567
1.7019	0.496632	0.425283	0.043103	0.965018
1.7054	0.495909	0.426538	0.043132	0.965579
